Customer_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Type,Marital_Status,Dependents,Has_Credit_Card,Previous_Default,Loan_Default
586232,50,97231,800,26639,36,Unemployed,Divorced,3,No,Yes,1
600186,51,88388,846,21633,60,Unemployed,Married,2,No,Yes,1
256730,25,36014,841,39660,60,Salaried,Divorced,0,Yes,No,0
970910,64,112578,806,8439,48,Self-Employed,Divorced,4,No,Yes,0
484681,34,53755,580,37172,12,Salaried,Married,1,No,Yes,1
249503,31,60390,723,40622,48,Unemployed,Single,0,No,No,0
754811,29,43711,569,16577,48,Self-Employed,Divorced,1,No,No,0
627035,54,111658,453,16763,60,Salaried,Married,4,No,No,0
748143,32,77993,382,25176,60,Salaried,Single,0,Yes,Yes,1
552366,55,94696,725,49386,36,Unemployed,Divorced,3,Yes,No,1
165725,55,47213,574,29255,36,Salaried,Married,2,Yes,Yes,1
229981,21,135788,583,46003,48,Salaried,Divorced,0,Yes,Yes,1
184654,60,124956,472,24996,24,Salaried,Married,4,Yes,Yes,1
691723,42,77784,626,40386,24,Salaried,Married,0,Yes,Yes,1
419030,49,27421,362,26062,36,Salaried,Divorced,1,Yes,Yes,1
428947,28,106936,372,40931,24,Unemployed,Divorced,0,No,No,1
655839,31,119073,674,40710,36,Unemployed,Married,3,Yes,Yes,1
373538,61,37727,807,39693,60,Salaried,Single,0,Yes,No,0
431236,57,132418,697,40740,48,Unemployed,Divorced,2,Yes,Yes,1
628178,34,24358,419,16705,12,Unemployed,Married,0,No,Yes,1
665894,50,85108,736,48408,48,Self-Employed,Married,1,Yes,No,0
589492,55,146609,764,33047,36,Salaried,Single,0,Yes,Yes,0
356840,41,114018,585,15966,36,Unemployed,Single,3,No,Yes,1
573254,57,144457,564,22374,48,Unemployed,Single,4,Yes,No,1
449457,25,52117,619,16138,36,Salaried,Divorced,0,Yes,No,0
765987,39,108700,675,20935,24,Self-Employed,Married,0,No,Yes,0
370936,34,51910,388,5489,24,Salaried,Married,2,Yes,Yes,1
339931,46,146888,502,49516,36,Self-Employed,Married,3,No,Yes,1
339629,24,118032,633,27260,36,Salaried,Single,4,Yes,No,0
305041,45,75754,521,31069,24,Salaried,Married,1,Yes,Yes,1
798361,62,82438,340,24275,36,Salaried,Divorced,0,Yes,No,0
831912,45,129847,367,41284,36,Salaried,Single,4,No,No,0
517113,38,49371,813,44178,48,Self-Employed,Single,1,No,Yes,0
168148,60,71501,426,37821,12,Self-Employed,Single,3,No,No,0
877089,28,80946,554,21999,24,Unemployed,Single,3,Yes,Yes,1
748531,59,58467,315,43712,48,Salaried,Divorced,4,Yes,Yes,1
351995,60,37625,776,45172,12,Self-Employed,Married,1,No,No,0
778843,34,53893,361,38722,36,Self-Employed,Divorced,3,No,No,0
672843,52,96329,731,15625,36,Self-Employed,Married,4,Yes,No,0
356508,58,51007,567,6629,48,Salaried,Divorced,3,Yes,No,0
903591,53,111302,334,15973,36,Unemployed,Single,3,Yes,No,1
996942,43,59532,793,11859,60,Self-Employed,Single,3,Yes,No,0
206530,35,74253,768,46609,48,Salaried,Divorced,2,No,Yes,0
704365,53,32323,624,48307,12,Self-Employed,Divorced,1,Yes,Yes,1
922352,45,131335,603,41046,48,Self-Employed,Married,4,Yes,Yes,0
560337,37,132356,575,26839,24,Unemployed,Divorced,4,Yes,No,1
824839,53,130944,500,32216,48,Self-Employed,Divorced,1,Yes,No,1
905889,22,93379,744,23945,36,Self-Employed,Married,1,Yes,No,0
559773,34,34210,623,11539,36,Salaried,Married,1,Yes,Yes,1
308261,60,36456,334,38625,60,Salaried,Married,1,Yes,Yes,1
864469,60,51367,781,9886,60,Unemployed,Divorced,0,No,No,0
441097,59,74624,779,12485,60,Salaried,Married,4,No,No,0
415139,26,30106,364,36455,12,Salaried,Single,0,No,No,1
271829,26,123493,307,21767,60,Unemployed,Single,3,Yes,No,1
371836,23,88008,600,33453,12,Self-Employed,Single,3,No,Yes,1
538974,27,145926,642,15744,60,Unemployed,Divorced,4,Yes,Yes,1
302283,28,135395,730,42102,12,Salaried,Single,3,Yes,Yes,0
296769,62,136492,723,17226,48,Unemployed,Divorced,1,Yes,No,1
661353,35,92240,631,32869,48,Self-Employed,Divorced,0,Yes,Yes,1
323165,49,84315,737,27588,36,Unemployed,Single,1,No,No,0
723587,53,89249,473,18440,12,Salaried,Married,3,Yes,No,1
635822,50,90587,826,36709,24,Salaried,Divorced,0,Yes,No,0
587879,59,30756,325,27495,36,Unemployed,Single,1,No,Yes,1
664685,47,88011,705,42019,48,Self-Employed,Divorced,4,No,Yes,0
882038,56,56378,531,49948,12,Unemployed,Married,1,No,No,1
453531,49,24255,832,5922,60,Self-Employed,Married,3,Yes,Yes,0
363160,58,34484,849,32526,24,Self-Employed,Single,0,No,No,0
679879,53,145703,804,12957,48,Unemployed,Divorced,4,Yes,No,0
320884,57,76549,478,38998,36,Self-Employed,Divorced,0,Yes,No,0
123247,47,54503,431,48395,12,Salaried,Divorced,4,No,Yes,1
124300,53,144465,754,29031,24,Unemployed,Divorced,0,No,Yes,1
567281,24,93794,647,15006,12,Self-Employed,Single,3,No,No,0
707086,42,145941,839,42701,60,Salaried,Married,4,Yes,Yes,0
633556,22,126283,705,30939,36,Unemployed,Single,2,Yes,Yes,1
448951,30,120732,375,25324,12,Salaried,Divorced,0,Yes,Yes,1
374329,25,65113,791,27867,48,Salaried,Divorced,0,Yes,Yes,0
819064,30,125730,493,5203,36,Salaried,Married,1,Yes,No,0
842139,53,94069,461,21544,48,Self-Employed,Divorced,4,Yes,Yes,1
532315,58,118117,646,20899,12,Unemployed,Single,2,No,No,0
616588,33,25249,660,34063,36,Unemployed,Single,3,Yes,No,1
336584,51,145654,386,30344,48,Self-Employed,Married,1,No,Yes,1
662332,56,139979,561,8748,60,Unemployed,Single,2,No,No,1
937646,44,39201,513,44486,60,Salaried,Single,4,No,No,1
476896,35,145541,561,6093,12,Unemployed,Single,2,No,Yes,1
148984,49,78576,582,20228,36,Self-Employed,Single,0,No,No,0
402918,28,138562,766,25884,24,Salaried,Divorced,0,Yes,No,0
364712,25,145281,679,30183,36,Self-Employed,Single,1,Yes,Yes,0
220151,49,29686,661,21034,60,Salaried,Married,4,Yes,Yes,1
555808,24,132413,748,10710,48,Salaried,Married,4,Yes,Yes,1
233767,32,73363,740,47500,24,Unemployed,Single,2,No,Yes,1
748663,22,117543,392,24259,12,Salaried,Married,1,No,Yes,1
803550,47,20661,723,40959,24,Self-Employed,Single,4,No,No,1
236330,51,64843,441,38457,12,Unemployed,Married,0,Yes,No,1
580754,56,115673,590,25143,24,Self-Employed,Married,2,Yes,Yes,1
401648,56,80963,731,7103,12,Salaried,Single,3,Yes,Yes,0
788519,46,133092,348,5365,12,Self-Employed,Single,0,Yes,No,1
113986,63,62828,601,49535,24,Self-Employed,Divorced,1,No,Yes,0
686146,47,68604,489,21103,24,Salaried,Single,4,No,Yes,1
229312,25,30526,435,37510,12,Unemployed,Single,0,Yes,No,1
112666,40,88910,703,29476,60,Self-Employed,Divorced,3,Yes,No,0
400804,31,45592,640,17742,24,Salaried,Single,3,No,No,0
234633,30,48982,617,17391,36,Unemployed,Single,1,No,Yes,1
388998,60,20207,662,41940,48,Unemployed,Divorced,0,No,No,1
950937,58,120969,681,33901,12,Unemployed,Single,2,No,Yes,1
728776,26,137181,532,37001,12,Self-Employed,Single,0,Yes,No,0
807611,28,108733,643,20623,48,Self-Employed,Divorced,3,No,Yes,0
384806,43,118936,848,7378,60,Self-Employed,Divorced,1,No,Yes,1
894824,46,144982,828,26372,48,Unemployed,Married,1,No,Yes,1
130535,63,145839,482,49799,24,Self-Employed,Single,2,No,No,0
475713,32,88619,340,43437,48,Salaried,Married,1,Yes,No,1
938688,46,49328,696,40503,12,Self-Employed,Married,1,Yes,No,0
451279,33,66479,793,35746,48,Self-Employed,Divorced,1,Yes,Yes,1
921654,60,128427,632,32923,36,Unemployed,Single,1,Yes,No,0
701661,38,40103,426,14867,24,Self-Employed,Single,1,Yes,No,0
747972,45,59891,300,46258,48,Salaried,Divorced,3,Yes,Yes,1
589570,53,30754,467,38724,12,Unemployed,Married,0,No,Yes,1
556551,60,119983,318,14306,24,Salaried,Divorced,4,No,No,0
373109,63,101437,631,44391,12,Unemployed,Single,1,No,No,0
124538,32,118540,755,19908,60,Unemployed,Divorced,4,No,No,0
994498,64,92982,408,32081,36,Self-Employed,Single,4,Yes,Yes,1
301664,56,122747,567,42228,60,Salaried,Married,3,No,No,1
591234,24,75922,744,28386,36,Unemployed,Single,1,Yes,Yes,1
999684,25,68231,539,33302,48,Self-Employed,Married,4,No,Yes,1
239182,57,49301,600,24212,24,Unemployed,Married,1,No,No,0
572525,28,111652,402,40618,48,Unemployed,Single,2,No,No,1
258338,62,140787,549,15698,36,Unemployed,Single,2,Yes,Yes,1
284064,48,146823,752,9594,36,Unemployed,Married,2,No,Yes,1
314020,51,82711,819,30525,36,Unemployed,Divorced,4,Yes,No,0
723094,29,61323,452,19282,12,Unemployed,Single,2,Yes,No,1
997421,49,38752,473,19334,24,Self-Employed,Married,3,No,No,1
715270,34,117912,642,34179,48,Unemployed,Married,3,Yes,Yes,1
745914,60,102205,730,11644,48,Salaried,Divorced,4,Yes,Yes,0
219176,61,118452,623,40618,60,Self-Employed,Single,1,No,No,0
318126,42,33395,719,37933,36,Salaried,Married,0,No,Yes,1
318969,31,105957,784,48469,36,Unemployed,Divorced,1,No,Yes,1
222409,43,141237,711,38687,36,Salaried,Married,1,No,No,0
647707,21,76273,383,46073,48,Unemployed,Single,1,No,Yes,1
353618,57,147431,412,22375,60,Unemployed,Divorced,1,No,No,1
869598,41,111878,631,35926,12,Self-Employed,Married,0,Yes,No,0
150015,46,24895,677,41607,24,Self-Employed,Divorced,2,No,Yes,1
872838,56,139968,340,22642,12,Unemployed,Single,1,No,Yes,1
222096,43,135700,404,28993,48,Self-Employed,Divorced,3,Yes,No,0
731347,21,96559,501,49386,36,Salaried,Single,4,No,Yes,1
285340,60,30699,749,26188,24,Self-Employed,Married,4,Yes,No,1
210687,35,85061,565,37596,48,Self-Employed,Single,3,No,Yes,1
974371,41,29715,509,32772,48,Salaried,Married,1,No,Yes,1
511357,29,39169,417,35857,48,Self-Employed,Married,0,Yes,Yes,1
835716,29,145436,676,15776,24,Unemployed,Single,2,No,No,0
205878,30,138413,839,37835,24,Salaried,Married,4,Yes,Yes,0
827270,46,36163,383,14788,60,Unemployed,Divorced,2,No,No,1
298286,61,139264,753,10660,60,Salaried,Married,0,No,No,0
873290,55,25782,813,9478,12,Unemployed,Single,4,Yes,No,1
874684,45,108177,686,13210,24,Unemployed,Divorced,2,No,Yes,1
264899,46,149772,649,15922,24,Self-Employed,Divorced,0,No,No,0
424767,31,144481,595,41289,24,Unemployed,Married,2,Yes,No,1
961882,58,104328,557,38340,60,Self-Employed,Married,1,No,Yes,1
979858,22,135028,380,44850,48,Salaried,Single,0,Yes,No,1
479989,27,55585,567,43163,36,Unemployed,Divorced,2,No,No,1
515515,38,50682,718,23642,60,Unemployed,Single,1,Yes,Yes,1
143585,47,67864,534,16094,24,Salaried,Married,1,No,No,0
471369,54,149992,610,27423,60,Salaried,Divorced,0,Yes,Yes,0
164044,47,104416,656,38418,12,Unemployed,Single,3,Yes,No,0
542296,37,75114,512,10741,24,Salaried,Single,4,No,No,0
209556,63,147810,348,11838,12,Self-Employed,Single,0,No,Yes,1
626981,64,58067,426,8262,24,Salaried,Single,1,Yes,No,0
981691,44,62685,522,9996,60,Salaried,Single,1,No,No,0
867595,45,142262,578,49594,48,Unemployed,Divorced,0,Yes,No,1
300235,27,38073,707,27164,36,Self-Employed,Single,3,No,Yes,1
125939,26,56035,804,40595,12,Salaried,Divorced,4,No,Yes,1
252906,44,84977,593,35257,60,Self-Employed,Single,2,Yes,Yes,1
642335,53,122710,576,19211,48,Self-Employed,Married,0,Yes,Yes,1
388249,49,110373,737,35453,60,Self-Employed,Married,4,No,Yes,0
175766,63,103362,406,10232,12,Unemployed,Single,4,No,No,1
508923,42,110517,719,7217,36,Salaried,Married,1,No,Yes,0
515192,46,85450,728,29229,60,Unemployed,Divorced,2,No,Yes,1
668550,48,30382,674,19232,24,Salaried,Single,0,No,Yes,0
487261,41,24437,372,30613,48,Salaried,Divorced,1,Yes,No,1
910208,27,90971,329,19026,60,Unemployed,Single,1,No,No,1
785440,37,84612,487,33554,48,Self-Employed,Married,3,No,Yes,1
752664,40,110355,663,35908,24,Self-Employed,Divorced,4,Yes,No,0
554589,61,81929,750,24610,36,Salaried,Married,0,Yes,No,0
237848,40,122411,494,44605,36,Unemployed,Married,0,Yes,No,1
717075,42,117518,455,12031,24,Self-Employed,Single,0,No,No,1
227948,48,118864,471,30515,48,Self-Employed,Divorced,1,Yes,Yes,1
679304,60,32329,340,41484,60,Salaried,Married,3,Yes,Yes,1
502690,27,145605,362,41182,24,Salaried,Single,2,Yes,No,0
599046,21,45169,322,5570,12,Unemployed,Single,1,Yes,No,1
551269,52,107468,659,37254,48,Salaried,Single,2,No,No,0
121959,33,54594,374,24288,36,Self-Employed,Married,3,No,No,1
760890,50,96957,417,18288,24,Self-Employed,Single,4,No,Yes,1
850216,43,80631,679,34877,36,Self-Employed,Divorced,0,Yes,No,0
890180,39,65033,589,23889,48,Self-Employed,Divorced,2,Yes,Yes,1
328576,52,83133,739,5917,36,Unemployed,Married,1,Yes,No,0
637833,50,93165,306,15066,24,Unemployed,Divorced,2,Yes,Yes,1
265838,49,93861,495,34504,48,Salaried,Single,4,Yes,No,0
435674,49,72290,720,11982,12,Salaried,Married,0,Yes,Yes,0
979989,50,114031,492,44104,24,Salaried,Single,2,No,Yes,1
161087,36,51750,447,23062,60,Unemployed,Married,4,No,Yes,1
693128,60,115155,501,21999,24,Self-Employed,Married,1,Yes,No,0
218451,39,60461,743,14941,48,Salaried,Single,3,No,Yes,1
547600,38,93800,718,28470,24,Self-Employed,Divorced,1,Yes,No,0
937437,21,98222,726,26133,12,Salaried,Divorced,0,Yes,Yes,1
539792,34,132020,778,49435,12,Salaried,Married,1,No,Yes,1
139353,22,44226,774,9529,60,Salaried,Single,1,Yes,No,0
293075,48,26721,425,22519,36,Salaried,Single,1,No,Yes,1
314283,50,76154,694,17192,48,Salaried,Married,1,Yes,No,0
414877,58,40609,624,13566,48,Self-Employed,Divorced,0,Yes,No,0
165318,24,72130,691,12226,36,Salaried,Single,4,No,No,0
865313,21,92909,739,42930,12,Self-Employed,Divorced,2,Yes,No,0
582690,28,124211,503,26259,12,Unemployed,Divorced,3,Yes,Yes,1
516880,49,75249,785,39087,24,Salaried,Married,2,Yes,Yes,0
691460,59,68895,330,6141,60,Self-Employed,Married,2,No,No,0
840976,23,114473,687,9627,60,Unemployed,Divorced,3,Yes,Yes,1
881239,52,25656,733,7690,60,Unemployed,Single,0,Yes,Yes,1
193264,30,144865,675,45091,24,Unemployed,Single,3,Yes,No,0
870746,30,94520,643,8255,60,Self-Employed,Married,0,No,Yes,0
913168,39,83740,742,10213,36,Salaried,Divorced,2,No,No,0
325281,54,84309,374,41876,24,Salaried,Single,0,No,Yes,1
737147,53,49984,454,24404,36,Self-Employed,Single,4,No,Yes,1
998613,43,138947,729,30380,24,Salaried,Married,3,No,No,0
494070,48,93822,662,30520,60,Self-Employed,Divorced,4,Yes,Yes,1
452228,52,25901,747,24173,36,Salaried,Single,2,No,Yes,1
531839,27,51552,533,28989,36,Unemployed,Married,3,No,No,1
369536,49,111245,561,47570,36,Salaried,Single,2,Yes,Yes,1
417824,28,51055,424,29519,24,Self-Employed,Single,4,No,No,0
357426,21,57685,544,27439,48,Self-Employed,Single,2,Yes,Yes,1
277789,23,93965,841,16413,60,Unemployed,Married,3,No,No,1
613153,44,34716,784,19995,36,Self-Employed,Divorced,3,Yes,No,0
842452,43,134099,421,28559,48,Salaried,Married,2,Yes,No,1
937291,28,31138,424,28513,60,Salaried,Divorced,3,No,No,1
225657,57,55298,848,10021,60,Unemployed,Single,3,No,No,0
335167,23,71112,469,37464,36,Self-Employed,Divorced,2,Yes,Yes,1
781669,53,43429,423,26119,36,Unemployed,Single,4,Yes,Yes,1
580671,48,70200,334,34299,24,Salaried,Single,3,Yes,No,0
819094,28,91308,386,44350,48,Unemployed,Married,3,Yes,Yes,1
170467,54,68244,500,30517,48,Self-Employed,Single,3,Yes,No,0
283734,55,137217,668,18117,36,Unemployed,Married,3,Yes,Yes,1
722794,52,134055,376,27250,60,Self-Employed,Divorced,2,Yes,Yes,1
209751,44,121268,358,23950,36,Self-Employed,Divorced,4,No,No,0
481050,34,125441,730,22359,60,Salaried,Single,4,Yes,No,0
911774,52,37347,799,28596,60,Salaried,Married,0,No,Yes,1
792517,63,36920,408,30530,36,Salaried,Single,3,No,Yes,1
561079,36,51822,577,6262,12,Self-Employed,Married,3,Yes,No,0
468452,24,66659,367,45150,48,Unemployed,Married,0,Yes,Yes,1
206081,57,60108,368,27615,60,Self-Employed,Married,4,No,Yes,1
713333,41,148955,464,8327,60,Salaried,Divorced,1,Yes,No,0
658986,34,109099,788,34768,12,Salaried,Married,1,Yes,Yes,0
210078,51,27967,604,33850,24,Unemployed,Divorced,4,No,No,1
967055,38,130719,664,47788,12,Salaried,Married,3,No,No,0
122671,27,31871,678,21848,12,Salaried,Divorced,1,No,No,0
518400,30,114299,642,44542,60,Salaried,Divorced,2,Yes,Yes,0
455528,27,97452,653,20160,48,Unemployed,Divorced,2,Yes,Yes,1
710490,53,94270,715,38998,12,Self-Employed,Single,0,No,No,0
151663,43,53613,408,32230,24,Salaried,Married,4,Yes,No,0
115708,41,48179,796,14076,36,Unemployed,Single,4,No,Yes,1
978338,39,140465,640,8805,12,Salaried,Married,1,Yes,Yes,0
411955,39,72188,682,36085,12,Unemployed,Married,3,No,Yes,1
233883,56,75099,832,19715,24,Salaried,Single,4,Yes,No,0
418394,49,55262,599,10750,48,Unemployed,Divorced,1,No,No,1
212547,38,98213,438,18232,12,Salaried,Married,1,Yes,Yes,1
659042,22,137407,658,40903,12,Self-Employed,Divorced,4,Yes,Yes,1
851102,21,38268,798,11953,48,Salaried,Single,1,No,Yes,0
862002,25,97866,684,37093,24,Unemployed,Divorced,0,Yes,No,0
242483,40,106269,579,30500,12,Salaried,Married,0,Yes,No,0
758271,31,80545,782,27418,48,Self-Employed,Married,4,No,Yes,0
314835,62,123483,410,39314,12,Salaried,Married,3,Yes,Yes,1
501896,22,112822,438,27449,36,Unemployed,Single,0,Yes,No,1
184896,23,92146,734,22478,60,Unemployed,Married,0,Yes,No,1
577095,43,91966,808,40179,36,Self-Employed,Single,4,No,Yes,0
171295,32,59922,572,30338,12,Unemployed,Divorced,2,No,Yes,1
843974,40,99364,398,31899,24,Salaried,Married,1,No,Yes,1
987121,25,62913,403,9145,60,Salaried,Married,0,No,No,0
373255,57,117033,513,37101,36,Salaried,Married,2,No,Yes,1
399648,58,124792,464,7775,48,Unemployed,Divorced,3,Yes,No,1
757162,50,139425,819,36647,24,Salaried,Married,2,Yes,No,0
108155,29,75677,583,24539,36,Salaried,Single,4,No,Yes,1
566872,54,122154,816,41738,48,Salaried,Divorced,3,Yes,Yes,0
925816,64,69841,463,31616,12,Self-Employed,Divorced,3,Yes,No,0
474705,55,66332,363,19119,48,Unemployed,Divorced,2,Yes,Yes,1
671542,42,112062,390,30159,36,Unemployed,Divorced,4,Yes,No,1
908350,64,139863,416,42099,36,Unemployed,Divorced,0,No,Yes,1
710269,44,115694,566,15295,12,Self-Employed,Single,2,No,Yes,1
654594,37,45032,439,39710,48,Unemployed,Divorced,0,Yes,Yes,1
247718,30,57846,545,29685,48,Self-Employed,Married,2,Yes,Yes,1
408987,50,79474,694,30479,12,Self-Employed,Divorced,0,No,No,0
745263,43,64936,786,38629,48,Unemployed,Divorced,2,Yes,No,0
458745,52,49794,775,47043,12,Salaried,Divorced,3,Yes,No,0
207512,37,81588,816,22033,24,Salaried,Divorced,1,Yes,Yes,0
247443,37,90984,483,41902,36,Unemployed,Divorced,3,No,No,1
570587,34,70331,319,49571,24,Unemployed,Single,0,No,No,1
473616,29,114397,823,20408,60,Self-Employed,Single,4,Yes,No,0
757409,60,48141,828,22420,60,Unemployed,Divorced,3,Yes,Yes,1
786976,22,29074,446,21351,60,Self-Employed,Single,1,Yes,No,1
465871,45,26406,603,9131,12,Unemployed,Married,0,Yes,Yes,1
475037,59,117359,527,49825,48,Salaried,Divorced,3,Yes,Yes,1
907364,29,143279,401,16349,24,Salaried,Married,2,Yes,No,0
217796,42,43291,716,49254,24,Unemployed,Married,4,No,Yes,1
391999,63,61568,515,43225,24,Self-Employed,Divorced,0,No,No,0
292506,24,117539,706,43847,24,Salaried,Married,3,Yes,No,0
798376,46,66851,698,17453,60,Self-Employed,Married,0,No,No,0
369544,49,119942,798,23814,24,Unemployed,Married,2,Yes,No,0
480002,54,74823,764,23263,48,Unemployed,Divorced,1,Yes,No,0
798002,43,43312,381,17158,60,Salaried,Divorced,3,No,Yes,1
639439,57,63108,664,20735,24,Unemployed,Married,0,No,No,0
690978,31,86918,462,20830,12,Salaried,Divorced,0,Yes,Yes,1
628787,26,54171,347,49673,36,Self-Employed,Divorced,0,Yes,No,0
630583,38,61779,810,28926,36,Salaried,Married,1,No,No,0
488215,41,88828,628,39779,36,Salaried,Divorced,0,No,No,0
421184,62,127315,415,8373,60,Self-Employed,Single,4,Yes,Yes,1
898615,56,118723,636,15335,24,Salaried,Divorced,4,Yes,Yes,1
522515,61,32411,446,28741,60,Salaried,Single,0,Yes,Yes,1
768234,58,122821,622,15692,48,Unemployed,Married,4,No,Yes,1
478480,54,137990,742,39057,12,Self-Employed,Divorced,3,Yes,No,0
132711,37,77009,312,6447,12,Salaried,Married,4,No,No,1
891971,57,35422,793,24583,36,Self-Employed,Married,0,Yes,Yes,1
601157,45,62468,586,27765,36,Self-Employed,Married,2,No,Yes,1
284423,58,52371,413,28906,36,Salaried,Married,3,No,Yes,1
616349,32,77022,779,24567,24,Unemployed,Married,1,No,No,0
803714,43,91229,321,19139,48,Self-Employed,Divorced,0,No,Yes,1
757917,62,119071,648,43230,48,Salaried,Single,1,Yes,Yes,0
924792,42,71196,619,24520,48,Self-Employed,Divorced,2,No,No,0
837378,41,100354,425,24702,48,Unemployed,Divorced,1,No,Yes,1
233272,47,116774,576,30566,36,Unemployed,Divorced,0,No,No,1
867836,51,116410,503,12657,12,Unemployed,Divorced,0,Yes,No,1
802335,26,46715,493,42688,36,Salaried,Single,2,Yes,No,0
907789,47,47605,846,35134,48,Salaried,Divorced,0,Yes,No,0
743409,60,119853,585,15345,36,Unemployed,Married,2,Yes,No,1
177505,54,51174,356,46185,48,Salaried,Divorced,2,Yes,Yes,1
102869,32,29956,602,32413,60,Unemployed,Divorced,0,Yes,Yes,1
881474,27,124444,462,10208,12,Salaried,Single,4,No,No,0
554351,30,96373,318,38455,60,Unemployed,Single,2,No,No,1
412252,37,89252,669,33018,24,Self-Employed,Married,0,No,Yes,1
736584,46,81949,563,13080,36,Unemployed,Divorced,4,Yes,Yes,1
718467,41,82646,412,26902,24,Unemployed,Divorced,2,No,No,1
190272,48,90017,787,14486,36,Salaried,Divorced,4,No,Yes,0
138467,22,83037,626,43862,60,Salaried,Married,3,Yes,Yes,1
909760,63,109818,841,26158,48,Salaried,Single,3,No,No,0
977844,21,26548,364,45460,48,Salaried,Married,4,Yes,Yes,1
580047,56,136981,591,48856,36,Salaried,Divorced,2,No,Yes,1
759347,46,123141,324,40871,48,Salaried,Single,0,Yes,Yes,1
158871,49,93294,848,40208,60,Self-Employed,Single,1,Yes,Yes,0
228391,41,129204,300,25519,48,Unemployed,Married,0,Yes,No,1
539430,31,43177,848,36379,60,Unemployed,Single,1,No,Yes,1
710704,60,44022,440,33378,24,Unemployed,Single,1,No,No,1
956703,31,126297,487,44892,60,Self-Employed,Divorced,2,Yes,Yes,1
930496,56,140695,427,19031,12,Unemployed,Divorced,4,Yes,No,1
356687,59,25542,500,19536,12,Self-Employed,Single,0,No,No,0
825451,60,111012,426,5446,12,Self-Employed,Single,4,No,Yes,1
207450,55,116320,556,41683,36,Self-Employed,Married,3,Yes,No,0
271890,54,80428,846,22618,36,Unemployed,Married,2,No,No,1
538741,44,42740,493,11587,36,Self-Employed,Single,2,No,No,0
381974,42,79353,403,36480,60,Unemployed,Divorced,3,No,No,1
500109,25,110353,834,37994,36,Unemployed,Single,0,Yes,No,0
216381,53,133132,564,25527,24,Salaried,Single,3,Yes,Yes,1
573125,56,76532,683,28569,12,Salaried,Divorced,0,No,No,0
671621,40,36052,559,16151,60,Self-Employed,Divorced,1,Yes,No,0
234508,39,120689,713,10558,12,Self-Employed,Married,2,No,Yes,0
829650,55,67076,657,49739,36,Unemployed,Married,0,No,Yes,1
962645,63,73420,374,37954,60,Self-Employed,Married,4,Yes,No,0
499111,37,20671,654,48837,48,Self-Employed,Married,4,Yes,Yes,1
250810,63,20163,487,40303,24,Unemployed,Divorced,2,Yes,Yes,1
392890,54,61424,589,39700,36,Self-Employed,Single,3,No,Yes,1
673665,29,129538,344,32500,36,Self-Employed,Married,3,No,Yes,1
940477,46,73744,382,7032,24,Unemployed,Married,0,Yes,Yes,1
460032,22,90331,422,6252,24,Unemployed,Divorced,3,Yes,Yes,1
